Year,       North,        Middle, South
1978, 21587.27493,   5368.812755, 8036.445578
1979, 9705.095811,   7857.089353, 4647.338383
1980, 7503.218745,   3131.72913, 16071.0934
1981, 6306.063111,   4017.296636, 6467.40521
1982, 9117.630269,   1360.192061, 6297.059105
1983, 7235.325611,   4282.072347, 6546.489008
1984, 8288.783309,   2347.050117, 9276.494693
1985, 16785.28555,   1490.516413, 10613.94467
1986, 26189.33354,   2112.637625, 13218.11979
1987, 32008.29926,   2400.19387, 18541.87281
1988, 25458.29426,   4206.396861, 15551.4511
1989, 28906.43922,   1701.985547, 7038.038161
1990, 31508.25559,   2869.291646, 27706.15167
1991, 21817.18801,   5348.371884, 5717.948603
1992, 27705.10118,   4303.130327, 6562.75727
1993, 18554.698,   5946.409109, 4049.732428
1994, 36916.39931,   5912.360402, 17600.21057
1995, 35983.08461,   12991.98602, 15874.92308
1996, 23874.17357,   8379.548687, 20057.54078
1997, 18220.41708,   7058.36502, 14954.76864
1998, 18117.54009,   8353.143498, 14804.0645
1999, 23536.85354,   9001.694383, 20128.83752
2000, 25850.8866,   10758.34799, 18217.726
2001, 22144.66261,   7951.266116, 20087.1355
2002, 21687.2394,   8714.839704, 20710.12035
2003, 26380.64979,   7928.11087, 24450.08582
2004, 15393.50108,   9076.33763, 16713.79981
2005, 23529.03559,   13660.78187, 19182.40842
2006, 23315.77205,   8904.466053, 18746.25357
2007, 21943.01112,   7459.68946, 16726.89571
2008, 19469.52654,   7946.229565, 12293.31574
2009, 18821.3611,   8458.278052, 16949.14811
2010, 18344.91485,   9603.069832, 17322.50167
2011, 15111.66244,   8629.551924, 13172.68963
2012, 14207.43424,   6881.500082, 10328.53855
2013, 17319.44399,   6780.20832, 9304.153695
2014, 14829.11513,   5530.130499, 7906.670339
2015, 14101.73815,   6557.401967, 6844.064817
2016, 12833.72524,   5181.660333, 5959.961878
2017, 11059.84789,   5523.435256, 3261.794451
2018, 8988.678219,   4257.289664, 2927.4093
2019, 7759.702018,   3286.61796, 3830.845356
 