Year,      Catch (tonnes)                   
1978,      20750.382
1979,      27332.908
1980,      19105.512
1981,       8012.165
1982,       7449.518
1983,      10867.687
1984,       7010.252
1985,      11192.712
1986,      19887.197
1987,      23864.702
1988,      25586.307
1989,      20798.602
1990,      16069.765
1991,      17474.958
1992,      17070.990
1993,      21120.419
1994,      23785.388
1995,      26328.872
1996,      22224.290
1997,      17409.086
1998,      15219.912
1999,      14870.858
2000,      17606.224
2001,      14085.164
2002,       9936.023
2003,       8982.876
2004,       8216.253
2005,       4640.461
2006,       2443.905
2007,       4126.463
2008,       2990.871
2009,       1844.197
2010,       1536.476
2011,       1561.401
2012,        773.698
2013,       1764.702
2014,       1250.335
2015,       1189.813
2016,        965.710
2017,       1188.608
2018,        798.205
2019,	    1003.201
 