Age,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
1,0,0,0,0,0,0,0,0,0,0,0,0.042,0
2,0.075,0.067,0.075,0.075,0.087,0.095,0.09,0.104,0.092,0.094,0.062,0.093,0.1235
3,0.126,0.146,0.103,0.14,0.141,0.16,0.154,0.177,0.157,0.15,0.138,0.14,0.1727
4,0.197,0.184,0.185,0.207,0.184,0.202,0.185,0.21,0.185,0.202,0.181,0.18,0.2318
5,0.2,0.208,0.221,0.233,0.219,0.238,0.229,0.247,0.236,0.243,0.234,0.22,0.2771
6,0.238,0.237,0.243,0.274,0.267,0.275,0.266,0.275,0.265,0.293,0.262,0.35,0.318
7,0.25,0.266,0.268,0.311,0.282,0.291,0.298,0.271,0.272,0.305,0.288,0.303,0.3457
8,0.27,0.274,0.292,0.318,0.31,0.319,0.304,0.304,0.279,0.323,0.328,0.328,0.3662
9,0.276,0.285,0.29,0.339,0.327,0.32,0.316,0.31,0.296,0.341,0.341,0.341,0.3759
10,0.294,0.298,0.301,0.323,0.322,0.328,0.329,0.333,0.309,0.343,0.345,0.356,0.3665
11,0.323,0.318,0.319,0.344,0.374,0.348,0.357,0.353,0.322,0.373,0.373,0.415,0.4133